student_id,group
1,On-Campus Hustlers
2,On-Campus Hustlers
3,Commuting Overdrivers
4,On-Campus Residents
5,On-Campus Residents
6,Commuting Overdrivers
7,On-Campus Hustlers
8,On-Campus Hustlers
9,Commuting Overdrivers
10,On-Campus Residents
11,On-Campus Residents
12,On-Campus Residents
13,On-Campus Residents
14,On-Campus Residents
15,Commuting Overdrivers
16,On-Campus Hustlers
17,On-Campus Hustlers
18,Commuting Academics
19,On-Campus Hustlers
20,Commuting Academics
21,Commuting Overdrivers
22,Commuting Overdrivers
23,On-Campus Hustlers
24,Commuting Overdrivers
25,Commuting Overdrivers
26,On-Campus Residents
27,On-Campus Residents
28,Commuting Overdrivers
29,On-Campus Hustlers
30,Commuting Overdrivers
31,On-Campus Residents
32,On-Campus Residents
33,Commuting Overdrivers
34,Commuting Academics
35,On-Campus Residents
36,On-Campus Hustlers
37,On-Campus Residents
38,On-Campus Hustlers
39,On-Campus Hustlers
40,On-Campus Residents
41,Commuting Overdrivers
42,On-Campus Residents
43,On-Campus Hustlers
44,Commuting Academics
45,On-Campus Residents
46,On-Campus Hustlers
47,On-Campus Residents
48,On-Campus Hustlers
49,On-Campus Residents
50,Commuting Overdrivers
51,On-Campus Residents
52,Commuting Academics
53,On-Campus Residents
54,Commuting Overdrivers
55,Commuting Overdrivers
56,On-Campus Hustlers
57,Commuting Overdrivers
58,On-Campus Hustlers
59,Commuting Overdrivers
60,Commuting Overdrivers
61,On-Campus Hustlers
62,Commuting Overdrivers
63,On-Campus Hustlers
64,On-Campus Hustlers
65,On-Campus Hustlers
66,Commuting Academics
67,On-Campus Hustlers
68,Commuting Overdrivers
69,On-Campus Hustlers
70,Commuting Overdrivers
71,Commuting Overdrivers
72,On-Campus Residents
73,Commuting Academics
74,Commuting Overdrivers
75,On-Campus Residents
76,Commuting Academics
77,On-Campus Hustlers
78,Commuting Academics
79,On-Campus Residents
80,On-Campus Hustlers
81,On-Campus Hustlers
82,On-Campus Hustlers
83,On-Campus Hustlers
84,On-Campus Residents
85,On-Campus Residents
86,Commuting Academics
87,On-Campus Hustlers
88,On-Campus Hustlers
89,Commuting Overdrivers
90,On-Campus Residents
91,On-Campus Hustlers
92,On-Campus Residents
93,On-Campus Hustlers
94,Commuting Overdrivers
95,Commuting Overdrivers
96,Commuting Overdrivers
97,Commuting Academics
98,Commuting Overdrivers
99,On-Campus Hustlers
100,On-Campus Residents
101,Commuting Academics
102,On-Campus Hustlers
103,Commuting Overdrivers
104,Commuting Overdrivers
105,On-Campus Hustlers
106,On-Campus Hustlers
107,On-Campus Hustlers
108,Commuting Overdrivers
109,On-Campus Hustlers
110,On-Campus Hustlers
111,Commuting Overdrivers
112,On-Campus Residents
113,Commuting Overdrivers
114,Commuting Overdrivers
115,Commuting Academics
116,On-Campus Residents
117,Commuting Academics
118,On-Campus Hustlers
119,On-Campus Residents
120,On-Campus Residents
121,On-Campus Hustlers
122,Commuting Academics
123,Commuting Academics
124,On-Campus Hustlers
125,On-Campus Residents
126,On-Campus Residents
127,On-Campus Residents
128,On-Campus Residents
129,Commuting Overdrivers
130,On-Campus Residents
131,On-Campus Hustlers
132,Commuting Academics
133,On-Campus Hustlers
134,Commuting Academics
135,Commuting Overdrivers
136,On-Campus Residents
137,Commuting Academics
138,Commuting Overdrivers
139,On-Campus Residents
140,On-Campus Hustlers
141,On-Campus Residents
142,On-Campus Hustlers
143,On-Campus Hustlers
144,Commuting Academics
145,Commuting Overdrivers
146,On-Campus Hustlers
147,On-Campus Residents
148,On-Campus Hustlers
149,On-Campus Hustlers
150,Commuting Overdrivers
151,Commuting Overdrivers
152,Commuting Overdrivers
153,On-Campus Residents
154,On-Campus Hustlers
155,On-Campus Hustlers
156,Commuting Academics
157,On-Campus Residents
158,Commuting Academics
159,On-Campus Hustlers
160,Commuting Overdrivers
161,On-Campus Residents
162,On-Campus Hustlers
163,Commuting Academics
164,Commuting Academics
165,Commuting Academics
166,Commuting Academics
167,On-Campus Hustlers
168,On-Campus Residents
169,Commuting Academics
170,Commuting Overdrivers
171,On-Campus Hustlers
173,On-Campus Hustlers
174,Commuting Academics
175,Commuting Academics
176,On-Campus Residents
177,Commuting Academics
178,On-Campus Residents
179,Commuting Overdrivers
180,On-Campus Residents
181,On-Campus Hustlers
182,On-Campus Residents
183,On-Campus Hustlers
184,Commuting Academics
185,On-Campus Residents
186,On-Campus Residents
187,On-Campus Residents
188,On-Campus Residents
189,On-Campus Residents
190,On-Campus Hustlers
191,On-Campus Residents
192,On-Campus Residents
193,On-Campus Residents
194,On-Campus Residents
195,On-Campus Residents
196,Commuting Overdrivers
197,On-Campus Residents
198,Commuting Overdrivers
199,On-Campus Residents
200,On-Campus Residents
201,On-Campus Hustlers
202,Commuting Academics
203,On-Campus Residents
204,On-Campus Hustlers
205,On-Campus Residents
206,On-Campus Hustlers
207,On-Campus Residents
208,Commuting Academics
209,On-Campus Hustlers
210,On-Campus Hustlers
211,On-Campus Hustlers
212,Commuting Academics
213,On-Campus Residents
214,Commuting Overdrivers
215,On-Campus Residents
216,On-Campus Hustlers
217,On-Campus Residents
218,On-Campus Residents
219,On-Campus Hustlers
220,On-Campus Residents
222,Commuting Academics
223,Commuting Academics
224,On-Campus Residents
225,On-Campus Residents
226,On-Campus Hustlers
227,Commuting Academics
228,On-Campus Residents
229,On-Campus Residents
230,Commuting Overdrivers
231,On-Campus Hustlers
232,On-Campus Residents
233,Commuting Academics
234,Commuting Overdrivers
235,Commuting Overdrivers
236,On-Campus Residents
237,On-Campus Residents
238,On-Campus Residents
239,On-Campus Residents
240,On-Campus Residents
241,On-Campus Residents
242,On-Campus Hustlers
243,On-Campus Residents
244,Commuting Overdrivers
245,Commuting Academics
246,On-Campus Residents
247,On-Campus Residents
248,On-Campus Residents
249,On-Campus Hustlers
250,On-Campus Hustlers
251,On-Campus Residents
252,Commuting Academics
253,On-Campus Residents
254,On-Campus Residents
255,On-Campus Residents
256,On-Campus Residents
257,On-Campus Residents
258,Commuting Academics
259,On-Campus Residents
260,Commuting Academics
261,Commuting Academics
262,On-Campus Residents
263,On-Campus Residents
264,Commuting Academics
265,Commuting Academics
266,Commuting Academics
267,On-Campus Residents
268,On-Campus Residents
269,On-Campus Residents
270,On-Campus Residents
271,On-Campus Residents
272,Commuting Academics
273,On-Campus Hustlers
274,On-Campus Residents
275,On-Campus Hustlers
276,On-Campus Residents
277,On-Campus Residents
278,On-Campus Residents
279,On-Campus Residents
280,On-Campus Residents
281,On-Campus Hustlers
282,On-Campus Hustlers
283,On-Campus Residents
284,Commuting Academics
285,Commuting Overdrivers
286,On-Campus Residents
287,On-Campus Residents
288,On-Campus Residents
289,On-Campus Residents
290,On-Campus Hustlers
291,On-Campus Residents
292,Commuting Academics
293,Commuting Academics
294,On-Campus Residents
295,Commuting Overdrivers
296,Commuting Overdrivers
297,On-Campus Residents
298,On-Campus Residents
299,On-Campus Hustlers
300,On-Campus Hustlers
301,On-Campus Residents
302,On-Campus Residents
303,On-Campus Residents
304,On-Campus Residents
305,Commuting Academics
306,On-Campus Residents
307,On-Campus Residents
308,On-Campus Residents
309,On-Campus Residents
310,On-Campus Residents
311,Commuting Overdrivers
312,On-Campus Hustlers
313,Commuting Overdrivers
314,Commuting Overdrivers
315,On-Campus Residents
316,On-Campus Residents
317,On-Campus Residents
318,On-Campus Hustlers
319,On-Campus Hustlers
320,On-Campus Hustlers
321,On-Campus Residents
322,Commuting Overdrivers
323,Commuting Academics
324,Commuting Academics
325,Commuting Overdrivers
326,On-Campus Hustlers
327,On-Campus Residents
328,On-Campus Residents
329,On-Campus Hustlers
330,Commuting Overdrivers
331,On-Campus Residents
332,Commuting Academics
333,On-Campus Residents
334,On-Campus Residents
335,On-Campus Residents
336,On-Campus Residents
337,On-Campus Residents
338,On-Campus Residents
339,On-Campus Residents
340,On-Campus Residents
341,On-Campus Residents
342,On-Campus Residents
343,On-Campus Residents
344,On-Campus Residents
345,Commuting Overdrivers
346,On-Campus Residents
347,On-Campus Residents
348,On-Campus Hustlers
349,On-Campus Residents
350,On-Campus Residents
