student_id,"How many minutes is your typical commute (one way)? *this includes walking, biking, driving, or public transit time",How many hours per week do you typically work?,How many credits are you enrolled in this semester?,How many lab courses are you enrolled in this semester?
1,0-15 mins,21-30 ,6,1
2,0-15 mins,11-20,18,2
3,16-30 mins,11-20,18,2
4,0-15 mins,0,17,2
5,0-15 mins,0,15,2
6,16-30 mins,11-20,16,1
7,0-15 mins,1-10,16,2
8,0-15 mins,11-20,15,3 or more
9,31-45 mins,11-20,15,2
10,0-15 mins,0,13,1
11,0-15 mins,0,18,2
12,0-15 mins,0,18,2
13,0-15 mins,0,13,2
14,0-15 mins,0,15,2
15,16-30 mins,1-10,17,1
16,0-15 mins,11-20,18,0
17,0-15 mins,1-10,17,1
18,31-45 mins,0,10,1
19,0-15 mins,1-10,14,1
20,16-30 mins,0,17,0
21,31-45 mins,31-40 ,12,0
22,16-30 mins,1-10,15,2
23,0-15 mins,1-10,16,1
24,16-30 mins,11-20,17,2
25,16-30 mins,1-10,14,2
26,0-15 mins,0,16,2
27,0-15 mins,0,21,2
28,46-60 mins,11-20,17,2
29,0-15 mins,1-10,16,1
30,16-30 mins,1-10,18,0
31,0-15 mins,0,14,0
32,0-15 mins,0,18,2
33,46-60 mins,31-40 ,15,2
34,16-30 mins,0,18,2
35,0-15 mins,0,14,0
36,0-15 mins,11-20,17,2
37,0-15 mins,0,17,0
38,0-15 mins,11-20,12,2
39,0-15 mins,1-10,14,1
40,0-15 mins,0,15,1
41,16-30 mins,11-20,14,0
42,0-15 mins,0,17,0
43,0-15 mins,11-20,16,2
44,31-45 mins,0,17,1
45,0-15 mins,0,16,1
46,0-15 mins,11-20,16,0
47,0-15 mins,0,17,1
48,0-15 mins,11-20,21,0
49,0-15 mins,0,15,1
50,> Hour,21-30 ,16,1
51,0-15 mins,0,15,1
52,16-30 mins,0,13,3 or more
53,0-15 mins,0,17,1
54,16-30 mins,1-10,18,2
55,16-30 mins,1-10,16,0
56,0-15 mins,11-20,16,1
57,16-30 mins,21-30 ,16,2
58,0-15 mins,11-20,16,1
59,16-30 mins,11-20,16,1
60,16-30 mins,11-20,16,1
61,0-15 mins,11-20,16,0
62,31-45 mins,1-10,14,2
63,0-15 mins,1-10,12,1
64,0-15 mins,1-10,14,1
65,0-15 mins,1-10,18,0
66,31-45 mins,0,17,2
67,0-15 mins,1-10,13,0
68,16-30 mins,11-20,13,1
69,0-15 mins,21-30 ,18,0
70,16-30 mins,1-10,19,1
71,16-30 mins,11-20,18,2
72,0-15 mins,0,18,2
73,16-30 mins,0,18,1
74,16-30 mins,1-10,17,2
75,0-15 mins,0,18,2
76,31-45 mins,0,14,1
77,0-15 mins,1-10,19,0
78,31-45 mins,0,15,2
79,0-15 mins,0,11,1
80,0-15 mins,11-20,16,2
81,0-15 mins,11-20,15,0
82,0-15 mins,1-10,15,2
83,0-15 mins,1-10,18,0
84,0-15 mins,0,16,1
85,0-15 mins,0,17,1
86,16-30 mins,0,13,0
87,0-15 mins,21-30 ,17,0
88,0-15 mins,1-10,18,1
89,16-30 mins,11-20,17,1
90,0-15 mins,0,18,0
91,0-15 mins,21-30 ,14,1
92,0-15 mins,0,18,1
93,0-15 mins,1-10,17,2
94,16-30 mins,21-30 ,18,2
95,16-30 mins,1-10,18,0
96,16-30 mins,11-20,18,0
97,> Hour,0,18,2
98,16-30 mins,1-10,16,0
99,0-15 mins,11-20,16,1
100,0-15 mins,0,15,0
101,16-30 mins,0,13,1
102,0-15 mins,1-10,18,0
103,16-30 mins,21-30 ,15,0
104,31-45 mins,1-10,19,0
105,0-15 mins,21-30 ,15,0
106,0-15 mins,1-10,15,0
107,0-15 mins,11-20,18,0
108,16-30 mins,1-10,15,0
109,0-15 mins,1-10,18,0
110,0-15 mins,11-20,14,1
111,16-30 mins,11-20,19,3 or more
112,0-15 mins,0,12,0
113,16-30 mins,1-10,18,0
114,31-45 mins,11-20,18,0
115,31-45 mins,0,19,0
116,0-15 mins,0,18,2
117,16-30 mins,0,16,1
118,0-15 mins,1-10,15,2
119,0-15 mins,0,17,1
120,0-15 mins,0,19,0
121,0-15 mins,1-10,18,0
122,16-30 mins,0,17,1
123,16-30 mins,0,16,0
124,0-15 mins,1-10,17,1
125,0-15 mins,0,15,1
126,0-15 mins,0,16,0
127,0-15 mins,0,18,0
128,0-15 mins,0,18,0
129,16-30 mins,11-20,15,0
130,0-15 mins,0,17,0
131,0-15 mins,21-30 ,15,0
132,16-30 mins,0,12,0
133,0-15 mins,1-10,18,0
134,16-30 mins,0,18,1
135,31-45 mins,1-10,18,1
136,0-15 mins,0,12,2
137,16-30 mins,0,15,2
138,46-60 mins,11-20,18,2
139,0-15 mins,0,17,1
140,0-15 mins,11-20,13,1
141,0-15 mins,0,15,1
142,0-15 mins,1-10,15,1
143,0-15 mins,1-10,14,2
144,16-30 mins,0,14,2
145,46-60 mins,1-10,16,2
146,0-15 mins,11-20,15,2
147,0-15 mins,0,14,2
148,0-15 mins,1-10,15,3 or more
149,0-15 mins,11-20,16,3 or more
150,16-30 mins,1-10,17,2
151,31-45 mins,11-20,14,2
152,16-30 mins,1-10,15,2
153,0-15 mins,0,15,2
154,0-15 mins,1-10,17,2
155,0-15 mins,1-10,12,1
156,31-45 mins,0,12,2
157,0-15 mins,0,17,2
158,16-30 mins,0,17,1
159,0-15 mins,11-20,15,2
160,16-30 mins,1-10,18,2
161,0-15 mins,0,18,1
162,0-15 mins,11-20,17,2
163,16-30 mins,0,18,1
164,16-30 mins,0,15,2
165,16-30 mins,0,17,2
166,31-45 mins,0,15,2
167,0-15 mins,1-10,19,2
168,0-15 mins,0,17,1
169,16-30 mins,0,17,2
170,16-30 mins,1-10,14,1
171,0-15 mins,1-10,15,2
172,,0,,
173,0-15 mins,11-20,15,0
174,46-60 mins,0,15,1
175,46-60 mins,0,12,3 or more
176,0-15 mins,0,14,2
177,16-30 mins,0,14,1
178,0-15 mins,0,15,0
179,16-30 mins,11-20,15,0
180,0-15 mins,0,16,2
181,0-15 mins,21-30 ,14,2
